"","volume","initial_angle","basal_friction_angle","internal_friction_angle"
"343",6.8358,1.6368,10.246,20.933
"344",6.1349,2.054,16.005,21.948
"345",6.5656,1.7135,10.911,28.247
"346",6.1283,4.22,11.967,20.806
"347",6.4117,4.674,16.011,29.624
"348",6.0909,3.3088,15.629,24.106
"349",6.1085,2.459,15.849,26.284
"350",6.0031,4.0697,16.01,25.747
"351",6.0404,2.6768,12.213,25.21
"352",6.0953,3.3272,11.648,22.72
"353",6.0448,4.7047,16.409,23.989
"354",6.047,3.3702,15.878,20.62
"355",6.0931,1.6214,12.368,29.712
"356",6.0184,2.3853,11.859,20.981
"357",7.1434,0.81454,10.815,25.981
"358",6.9303,4.7599,10.864,24.976
"359",7.2357,1.3484,13.47,23.022
"360",6.9413,5.1864,14.383,26.411
"361",6.1481,4.9225,12.469,25.015
"362",6.493,0.98635,11.712,24.097
"363",6.3634,0.96487,15.084,26.401
"364",6.6117,4.7722,14.972,22.563
"365",7.183,6.2817,13.628,24.507
"366",6.7281,0.67649,14.556,26.157
"367",6.9347,0.2255,11.221,22.856
"368",6.9786,5.5883,10.823,26.802
"369",6.6381,5.9657,14.538,25.366
"370",6.2184,0.70103,15.693,24.077
"371",6.2931,6.1681,12.327,22.964
"372",6.5436,0.68876,11.477,26.431
"373",6.9589,1.4803,14.76,25.698
"374",6.9501,5.4441,10.626,27.378
"375",7.2094,4.8213,14.272,23.657
"376",6.4886,5.3643,11.315,22.671
"377",6.1788,1.5662,11.524,26.528
"378",6.9171,0.24083,10.61,26.06
"379",7.1302,5.6711,9.9363,24.946
"380",7.1017,0.71944,14.119,23.433
"381",6.7325,5.9319,15.234,27.271
"382",6.3129,5.9749,11.452,25.327
"383",6.3195,0.20095,11.415,23.403
"384",6.9764,0.91579,13.855,27.808
"385",6.8732,4.8673,11.062,28.354
"386",7.2379,1.4097,10.602,20.767
"387",6.7875,5.1925,14.6,20.532
"388",6.2338,0.93113,12.353,27.837
"389",6.4733,1.1796,15.282,21.743
"390",6.4579,4.9532,15.228,28.94
"391",7.027,5.8276,13.891,27.954
"392",6.9545,6.1129,10.698,21.772
"393",7.1632,0.19175,13.465,20.347
"394",6.7347,0.50468,11.123,29.048
"395",6.5831,5.5668,14.62,22.456
"396",6.1305,0.35435,12.48,21.626
"397",6.2008,5.5576,12.623,29.937
"398",6.4381,0.34208,15.153,29.038
"399",6.8314,5.4011,14.683,21.431
"400",7.0819,4.8274,9.9446,27.964
"401",7.0292,1.3821,14.4,29.136
"402",6.8248,1.0815,10.494,20.181
"403",6.1678,4.9256,15.969,27.651
"404",6.2535,1.2134,15.744,21.108
"405",6.5326,0.81148,10.893,29.897
"406",6.8468,0.53536,10.692,28.003
"407",6.882,5.6987,10.559,20.903
"408",7.2269,6.073,14.18,29.985
"409",6.2623,0.29606,11.696,22.319
"410",6.4755,0.47093,15.722,28.237
"411",6.2645,6.0669,11.668,28.95
"412",6.5765,5.5085,15.546,20.405
"413",6.0602,0.92192,16.285,25.562
"414",6.0294,0.54763,16.719,24.604
"415",6.0975,4.7937,15.665,27.661
"416",6.069,0.51695,12.294,20.835
"417",6.994,3.591,12.318,30.083
"418",6.8029,2.8885,12.437,19.292
"419",7.1588,2.6277,12.148,32.241
"420",6.8798,3.4898,13.024,18.315
"421",6.6359,2.9897,12.887,30.19
"422",6.3282,3.3057,13.784,31.87
"423",6.6205,3.9255,12.816,17.993
"424",7.2159,4.5452,11.771,19.106
"425",7.1193,2.0693,12.425,17.573
"426",6.7941,1.5999,12.268,31.519
"427",6.3788,4.401,13.617,18.911
"428",6.4469,2.0724,14.031,30.093
"429",6.2887,1.5846,13.609,18.11
"430",7.1698,3.1339,11.165,31.011
"431",6.9567,2.5878,13.558,19.517
"432",6.8007,3.6493,12.039,18.286
"433",7.0753,3.5051,13.299,32.231
"434",6.6688,3.588,13.97,18.872
"435",6.3239,3.0081,12.644,19.829
"436",6.2711,3.6923,13.037,32.251
"437",6.6842,2.8486,14.041,31.694
"438",7.1786,1.6889,12.74,31.138
"439",6.7303,4.1402,11.781,30.151
"440",6.9742,2.3178,11.823,17.876
"441",6.6337,3.9316,13.79,30.972
"442",6.3876,4.6587,12.341,19.878
"443",6.6754,2.1951,13.777,18.267
"444",6.1525,1.6521,13.061,32.339
"445",7.0204,3.6862,12.29,33.56
"446",6.8073,2.9683,13.147,32.554
"447",6.8973,3.4162,12.894,15.112
"448",6.9918,2.5387,11.812,16.235
"449",6.559,3.5696,13.291,33.608
"450",6.2821,2.8425,14.376,16.909
"451",6.2206,2.594,13.858,34.604
"452",6.4491,3.3211,13.047,16.099
"453",7.161,3.9715,12.051,17.065
"454",6.7128,1.6276,12.537,33.667
"455",6.8951,2.1583,12.783,16.118
"456",7.172,4.4838,12.501,34.38
"457",6.2272,2.2074,13.85,16.851
"458",6.5546,4.3857,13.59,17.183
"459",6.649,1.9159,13.209,33.774
"460",6.1898,4.0635,13.54,34.438
"461",6.6952,3.4039,13.793,16.558
"462",6.9698,3.5542,11.338,32.925
"463",6.8116,3.048,13.688,34.341
"464",6.972,2.4559,11.31,15.444
"465",6.4227,3.4315,14.318,32.534
"466",6.3458,3.3303,12.871,15.864
"467",6.5502,2.6523,14.277,15.181
"468",7.1127,1.8669,13.075,17.319
"469",7.194,2.0877,11.417,34.165
"470",6.7391,4.5605,13.942,34.81
"471",6.5282,2.1062,12.544,16.997
"472",6.3063,1.6582,14.765,33.218
"473",6.381,4.2629,14.726,15.083
"474",6.0492,3.8672,13.024,30.063
"475",6.1195,2.7872,15.001,31.626
"476",6.0052,2.1829,13.313,30.054
"477",6.0162,2.2105,15.264,17.837
"478",6.0712,4.7078,14.123,33.472
"479",6.1019,4.5022,13.179,34.985
"480",7.1676,1.0446,11.987,18.921
"481",6.8182,1.2839,13.158,30.073
"482",7.2028,4.9931,12.114,18.452
"483",6.7106,5.2876,12.653,32.485
"484",6.403,0.88511,13.635,19.556
"485",6.5634,4.806,13.583,30.659
"486",6.4601,1.1735,13.18,32.222
"487",6.3151,4.8336,13.374,18.491
"488",6.9325,6.0178,12.241,19.331
"489",7.0028,0.5599,11.862,30.356
"490",7.15,5.9779,12.233,31.968
"491",6.7216,0.61819,13.331,18.394
"492",6.2316,5.5269,13.788,30.981
"493",6.4447,6.2356,13.908,19.976
"494",6.6556,0.73478,13.179,32.212
"495",6.2755,0.10584,13.246,18.677
"496",7.0314,5.4656,13.236,31.245
"497",6.8336,4.9471,11.62,19.751
"498",7.2489,1.5509,12.776,18.325
"499",6.9127,0.90965,11.636,32.085
"500",6.1569,4.763,13.28,30.288
"501",6.6666,5.1281,14.194,19.321
"502",6.2865,1.3514,14.444,31.304
"503",6.5216,0.92499,12.117,18.042
"504",7.1852,0.64887,11.231,19.438
"505",6.726,0.34515,14.062,31.226
"506",7.1918,6.2203,12.723,18.296
"507",6.8885,5.8828,11.384,32.261
"508",6.203,0.22856,13.083,30.62
"509",6.4799,0.58751,14.488,18.882
"510",6.4315,5.9472,12.756,17.583
"511",6.3744,5.8399,14.649,31.538
"512",6.6908,1.2778,12.779,16.694
"513",7.1039,5.2631,12.713,17.251
"514",7.0511,4.8458,12.127,34.829
"515",6.7062,1.1244,13.301,33.872
"516",6.2997,1.2072,13.515,32.769
"517",6.5743,5.2201,13.716,33.286
"518",6.4183,5.2662,13.325,15.483
"519",6.2052,1.5631,14.238,16.011
"520",7.0797,0.38196,12.407,16.655
"521",6.8754,5.8061,12.264,17.173
"522",6.7084,5.8675,13.077,34.321
"523",7.2181,0.050621,11.491,34.712
"524",6.1547,0.18561,14.036,32.72
"525",6.4908,5.5699,12.925,33.54
"526",6.5524,6.1252,13.443,16.001
"527",6.2096,0.4648,13.434,15.21
"528",6.7545,5.4963,11.955,17.007
"529",7.0468,4.8765,13.488,33.13
"530",7.1105,1.3545,11.319,33.95
"531",6.7985,0.79614,13.876,15.405
"532",6.3326,4.9103,12.892,33.618
"533",6.6095,1.014,12.127,16.88
"534",6.2469,5.3551,14.638,15.747
"535",7.2401,0.4832,12.666,33.052
"536",7.2467,0.49241,11.103,15.806
"537",6.9633,6.2448,11.26,34.624
"538",6.1415,0.68262,14.798,16.284
"539",6.6227,0.13652,12.097,33.062
"540",6.66,5.5791,13.977,34.839
"541",6.1591,6.116,13,15.894
"542",6.1217,1.0784,13.681,19.194
"543",6.1151,5.1956,13.542,31.948
"544",6.1107,0.22243,14.346,18.022
"545",6.08,5.1465,13.342,30.229
"546",6.0382,4.9041,14.342,15.347
"547",6.0096,0.53229,14.022,33.208
"548",6.025,1.2655,15.416,33.032
"549",6.9984,3.3487,10.879,31.03
"550",6.8556,3.8119,14.388,19.536
"551",7.1478,2.505,13.421,31.851
"552",6.8204,2.8149,11.181,17.817
"553",6.3173,3.5788,15.208,30.815
"554",6.5985,3.0971,14.989,19.565
"555",6.214,2.4007,12.591,32.065
"556",6.6622,3.1983,11.382,18.667
"557",7.0621,4.4041,10.819,19.673
"558",6.8688,2.2688,11.009,30.718
"559",7.1346,2.1031,13.685,18.208
"560",6.7831,4.4746,14.67,32.104
"561",6.3392,1.965,12.41,19.243
"562",6.5787,1.7165,14.826,30.337
"563",6.3546,4.1678,14.981,18.56
"564",6.5677,4.539,11.624,32.446
"565",7.1281,3.7843,10.133,19.253
"566",6.7611,3.3364,15.224,30.132
"567",7.1764,2.551,10.064,32.368
"568",6.8929,2.8087,14.867,18.687
"569",6.5897,2.7658,11.265,19.224
"570",6.3898,3.6371,15.891,19.966
"571",6.6051,3.4008,11.175,31.421
"572",6.3678,2.4037,15.928,32.476
"573",7.1896,1.7748,14.089,30.386
"574",6.838,4.0328,10.308,31.177
"575",7.0402,4.2016,14.499,17.612
"576",6.8644,1.8945,10.326,18.706
"577",6.3502,1.695,15.825,19.585
"578",6.682,2.0018,10.813,30.874
"579",6.6798,4.4501,15.072,31.558
"580",6.7743,2.5479,11.075,32.847
"581",6.8138,3.5082,14.245,33.853
"582",7.1083,2.5326,14.045,15.2
"583",6.6644,2.5663,11.491,17.485
"584",6.2843,3.3916,15.165,15.503
"585",6.5172,2.7382,15.07,34.155
"586",6.7809,1.6552,14.163,33.423
"587",7.0665,3.9439,13.912,17.026
"588",6.7853,4.3366,11.006,34.224
"589",6.4557,2.281,14.827,16.616
"590",6.1613,4.5851,15.874,33.081
"591",6.4425,1.8362,11.917,34.331
"592",6.3722,4.1525,11.804,15.356
"593",6.6996,3.7659,10.994,33.267
"594",7.2225,3.0603,14.21,32.661
"595",6.7963,3.2873,14.945,15.337
"596",7.0358,2.7474,9.8609,15.757
"597",6.5875,3.6217,11.228,15.532
"598",6.1371,3.3027,16.433,34.233
"599",6.8051,4.3059,14.821,33.14
"600",7.0094,4.4286,9.962,17.407
"601",7.0446,2.0233,14.466,16.187
"602",6.6974,1.873,10.566,34.448
"603",6.1766,2.2043,11.88,17.31
"604",6.6315,4.4439,15.606,16.665
"605",6.4645,1.9006,15.579,34.546
"606",6.392,4.0973,11.136,34.272
"607",6.0118,3.4192,12.905,19.214
"608",6.0844,3.0327,12.648,31.343
"609",6.0074,4.3335,12.888,30.64
"610",6.0756,2.0387,15.858,32.134
"611",6.0865,2.7013,16.147,31.274
"612",6.058,1.5723,12.004,30.493
"613",6.1063,4.3734,16.31,31.372
"614",6.1041,2.7719,12.344,33.179
"615",6.0426,3.6677,15.595,33.921
"616",6.0997,2.2994,12.673,16.167
"617",6.1239,3.1615,11.999,33.325
"618",6.0536,3.0235,12.301,16.138
"619",6.0668,4.6495,12.269,16.704
"620",7.0643,0.94033,10.771,19.146
"621",6.7787,1.2993,14.685,30.259
"622",6.7721,5.033,14.246,17.71
"623",7.1237,5.1312,10.535,31.353
"624",6.4777,1.2962,14.937,19.888
"625",6.3832,0.96794,11.712,31.235
"626",6.2733,5.4318,15.653,31.567
"627",6.7457,5.5607,14.191,30.796
"628",7.049,5.8982,10.456,19.761
"629",6.8402,0.035282,11.197,32.358
"630",7.0775,0.53843,14.101,18.413
"631",6.1942,5.576,15.695,19.487
"632",6.3656,0.28379,14.929,32.407
"633",6.5699,0.4065,11.515,18.14
"634",7.1566,0.86977,14.078,19.077
"635",6.7369,1.2533,10.602,30.366
"636",7.016,4.8244,14.5,32.202
"637",6.9083,5.3091,10.253,18.364
"638",6.2667,0.96181,15.726,30.2
"639",6.5612,5.079,10.973,31.147
"640",6.3964,5.4073,15.674,18.198
"641",6.4403,1.3453,11.05,17.856
"642",7.0336,0.25617,10.383,19.312
"643",6.8446,5.7969,15.188,19.409
"644",6.7633,6.2234,10.935,32.437
"645",6.4843,5.6619,11.426,19.37
"646",6.3085,0.76852,11.594,32.026
"647",6.5941,0.084369,15.608,18.423
"648",7.0072,5.4502,10.97,17.476
"649",6.7699,4.9716,14.614,33.579
"650",7.1874,1.2103,13.378,15.005
"651",6.8907,0.94953,10.845,34.37
"652",6.4821,1.2379,11.894,16.313
"653",6.1986,0.98021,15.662,32.632
"654",6.6864,5.4778,14.464,15.825
"655",6.2294,4.7814,12.164,34.956
"656",6.7589,5.6159,11.593,33.638
"657",7.2072,6.07,13.802,17.349
"658",7.2423,0.52309,13.384,34.058
"659",6.9677,0.37276,10.717,15.425
"660",6.4667,0.59672,12.018,33.364
"661",6.359,0.11198,15.271,17.202
"662",6.537,5.6036,14.627,33.823
"663",6.1854,6.0792,12.237,15.386
"664",6.9435,1.2349,14.515,17.417
"665",7.0006,5.1557,14.715,33.462
"666",7.0182,4.7876,10.382,15.884
"667",6.7238,0.91272,10.448,34.419
"668",6.3942,4.944,11.496,32.983
"669",6.6073,0.79307,10.971,16.489
"670",6.3019,5.1741,15.765,16.206
"671",6.504,1.5539,15.6,34.526
"672",7.0885,0.21936,14.178,33.696
"673",6.8534,5.6374,15.154,16.958
"674",6.7413,0.7808,10.981,15.972
"675",6.9874,6.2295,9.9572,34.878
"676",6.3986,5.6282,11.197,17.192
"677",6.5963,6.0117,15.086,34.741
"678",6.3107,0.63047,15.946,15.854
"679",6.014,4.7231,15.984,32.095
"680",6.1173,1.0477,16.416,30.942
"681",6.0009,5.4042,12.095,31.841
"682",6.0272,5.8736,11.813,18.276
"683",6.0338,5.2263,15.524,32.759
